protein_id,checkpoint_name,repr_layer,embedding_dim,raw_sequence_length,embedded_sequence_length,n_noncanonical_replaced_with_X,n_truncated_residues,protein_lm_frozen,notes
DBP1,esm2_t12_35M_UR50D,12,480,58,58,0,0,True,Mean-pooled residue representation; protein LM not fine-tuned.
UniPROBE:GB11:Hmlalpha2,esm2_t12_35M_UR50D,12,480,210,210,0,0,True,Mean-pooled residue representation; protein LM not fine-tuned.
UniPROBE:GB11:Mot3,esm2_t12_35M_UR50D,12,480,490,490,0,0,True,Mean-pooled residue representation; protein LM not fine-tuned.
UniPROBE:GB11:Msn1,esm2_t12_35M_UR50D,12,480,382,382,0,0,True,Mean-pooled residue representation; protein LM not fine-tuned.
UniPROBE:GB11:Nrg2,esm2_t12_35M_UR50D,12,480,220,220,0,0,True,Mean-pooled residue representation; protein LM not fine-tuned.
UniPROBE:GB11:Pdr3,esm2_t12_35M_UR50D,12,480,976,976,0,0,True,Mean-pooled residue representation; protein LM not fine-tuned.
UniPROBE:GB11:Sko1,esm2_t12_35M_UR50D,12,480,647,647,0,0,True,Mean-pooled residue representation; protein LM not fine-tuned.
UniPROBE:GB11:Stb4,esm2_t12_35M_UR50D,12,480,949,949,0,0,True,Mean-pooled residue representation; protein LM not fine-tuned.
UniPROBE:GB11:Stb5,esm2_t12_35M_UR50D,12,480,743,743,0,0,True,Mean-pooled residue representation; protein LM not fine-tuned.
UniPROBE:GB11:Ste12,esm2_t12_35M_UR50D,12,480,688,688,0,0,True,Mean-pooled residue representation; protein LM not fine-tuned.
UniPROBE:GB11:Stp1,esm2_t12_35M_UR50D,12,480,519,519,0,0,True,Mean-pooled residue representation; protein LM not fine-tuned.
UniPROBE:GB11:Sut1,esm2_t12_35M_UR50D,12,480,299,299,0,0,True,Mean-pooled residue representation; protein LM not fine-tuned.
UniPROBE:GB11:Upc2,esm2_t12_35M_UR50D,12,480,913,913,0,0,True,Mean-pooled residue representation; protein LM not fine-tuned.
UniPROBE:GB11:Vhr1,esm2_t12_35M_UR50D,12,480,640,640,0,0,True,Mean-pooled residue representation; protein LM not fine-tuned.
UniPROBE:GB11:Vhr2,esm2_t12_35M_UR50D,12,480,505,505,0,0,True,Mean-pooled residue representation; protein LM not fine-tuned.
UniPROBE:GB11:Yap3,esm2_t12_35M_UR50D,12,480,330,330,0,0,True,Mean-pooled residue representation; protein LM not fine-tuned.
UniPROBE:GB11:Ybr033w,esm2_t12_35M_UR50D,12,480,919,919,0,0,True,Mean-pooled residue representation; protein LM not fine-tuned.
UniPROBE:GB11:Yer184c,esm2_t12_35M_UR50D,12,480,794,794,0,0,True,Mean-pooled residue representation; protein LM not fine-tuned.
UniPROBE:GB11:Ylr278c,esm2_t12_35M_UR50D,12,480,1341,1022,0,319,True,Mean-pooled residue representation; protein LM not fine-tuned.
UniPROBE:GB11:Zap1,esm2_t12_35M_UR50D,12,480,880,880,0,0,True,Mean-pooled residue representation; protein LM not fine-tuned.
UniPROBE:LIU18A:BCL11A_23,esm2_t12_35M_UR50D,12,480,835,835,0,0,True,Mean-pooled residue representation; protein LM not fine-tuned.
UniPROBE:LIU18A:BCL11A_456,esm2_t12_35M_UR50D,12,480,835,835,0,0,True,Mean-pooled residue representation; protein LM not fine-tuned.
UniPROBE:LIU18A:BCL11A_XL,esm2_t12_35M_UR50D,12,480,835,835,0,0,True,Mean-pooled residue representation; protein LM not fine-tuned.
UniPROBE:LIU18A:BCL11A_d23d456,esm2_t12_35M_UR50D,12,480,835,835,0,0,True,Mean-pooled residue representation; protein LM not fine-tuned.
UniPROBE:LIU18A:BCL11B_23,esm2_t12_35M_UR50D,12,480,894,894,0,0,True,Mean-pooled residue representation; protein LM not fine-tuned.
UniPROBE:LIU18A:BCL11B_456,esm2_t12_35M_UR50D,12,480,894,894,0,0,True,Mean-pooled residue representation; protein LM not fine-tuned.
UniPROBE:LIU18A:BCL11B_XL,esm2_t12_35M_UR50D,12,480,894,894,0,0,True,Mean-pooled residue representation; protein LM not fine-tuned.
UniPROBE:NAR10:GCN4,esm2_t12_35M_UR50D,12,480,281,281,0,0,True,Mean-pooled residue representation; protein LM not fine-tuned.
UniPROBE:NAR10:Jun_Fos,esm2_t12_35M_UR50D,12,480,314,314,0,0,True,Mean-pooled residue representation; protein LM not fine-tuned.
UniPROBE:NAR11:HLH-1,esm2_t12_35M_UR50D,12,480,324,324,0,0,True,Mean-pooled residue representation; protein LM not fine-tuned.
UniPROBE:NAR11:HLH-1_L13R,esm2_t12_35M_UR50D,12,480,324,324,0,0,True,Mean-pooled residue representation; protein LM not fine-tuned.
UniPROBE:NAR11:HLH-1_L13T,esm2_t12_35M_UR50D,12,480,324,324,0,0,True,Mean-pooled residue representation; protein LM not fine-tuned.
UniPROBE:NAR11:HLH-1_L13V,esm2_t12_35M_UR50D,12,480,324,324,0,0,True,Mean-pooled residue representation; protein LM not fine-tuned.
UniPROBE:NBT06:CEH-22,esm2_t12_35M_UR50D,12,480,346,346,0,0,True,Mean-pooled residue representation; protein LM not fine-tuned.
UniPROBE:NBT06:Cbf1,esm2_t12_35M_UR50D,12,480,251,251,0,0,True,Mean-pooled residue representation; protein LM not fine-tuned.
UniPROBE:NBT06:Ceh-22,esm2_t12_35M_UR50D,12,480,346,346,0,0,True,Mean-pooled residue representation; protein LM not fine-tuned.
UniPROBE:NBT06:Oct-1,esm2_t12_35M_UR50D,12,480,585,585,0,0,True,Mean-pooled residue representation; protein LM not fine-tuned.
UniPROBE:NBT06:Rap1,esm2_t12_35M_UR50D,12,480,184,184,0,0,True,Mean-pooled residue representation; protein LM not fine-tuned.
UniPROBE:NBT06:Zif268,esm2_t12_35M_UR50D,12,480,508,508,0,0,True,Mean-pooled residue representation; protein LM not fine-tuned.
UniPROBE:PNAS12:Lmd,esm2_t12_35M_UR50D,12,480,358,358,0,0,True,Mean-pooled residue representation; protein LM not fine-tuned.
