metric,dataset,protein_id,value,unit,n_units,comparability,stage
protein_sequence_length,natural,UniPROBE:GB11:Hap1,456.0,aa,32896,descriptive,v0.8_reused_data_layer_audit
score_dynamic_range,natural,UniPROBE:GB11:Hap1,0.93113,assay_score,32896,assay-specific; not cross-normalized,v0.8_reused_data_layer_audit
score_95_5_spread,natural,UniPROBE:GB11:Hap1,0.5643849999999999,assay_score,32896,assay-specific; not cross-normalized,v0.8_reused_data_layer_audit
top1pct_position_entropy_mean,natural,UniPROBE:GB11:Hap1,1.838395777208455,bits,329,within-dataset descriptive,v0.8_reused_data_layer_audit
dna_kmer_length,natural,UniPROBE:GB11:Hap1,8.0,nt,32896,protocol difference,v0.8_reused_data_layer_audit
protein_sequence_length,natural,UniPROBE:GB11:Hmlalpha2,210.0,aa,32896,descriptive,v0.8_reused_data_layer_audit
score_dynamic_range,natural,UniPROBE:GB11:Hmlalpha2,0.99546,assay_score,32896,assay-specific; not cross-normalized,v0.8_reused_data_layer_audit
score_95_5_spread,natural,UniPROBE:GB11:Hmlalpha2,0.5682125,assay_score,32896,assay-specific; not cross-normalized,v0.8_reused_data_layer_audit
top1pct_position_entropy_mean,natural,UniPROBE:GB11:Hmlalpha2,1.8261810659034812,bits,329,within-dataset descriptive,v0.8_reused_data_layer_audit
dna_kmer_length,natural,UniPROBE:GB11:Hmlalpha2,8.0,nt,32896,protocol difference,v0.8_reused_data_layer_audit
protein_sequence_length,natural,UniPROBE:GB11:Mot3,490.0,aa,32896,descriptive,v0.8_reused_data_layer_audit
score_dynamic_range,natural,UniPROBE:GB11:Mot3,0.97775,assay_score,32896,assay-specific; not cross-normalized,v0.8_reused_data_layer_audit
score_95_5_spread,natural,UniPROBE:GB11:Mot3,0.5314450000000001,assay_score,32896,assay-specific; not cross-normalized,v0.8_reused_data_layer_audit
top1pct_position_entropy_mean,natural,UniPROBE:GB11:Mot3,1.8348759450944128,bits,329,within-dataset descriptive,v0.8_reused_data_layer_audit
dna_kmer_length,natural,UniPROBE:GB11:Mot3,8.0,nt,32896,protocol difference,v0.8_reused_data_layer_audit
protein_sequence_length,natural,UniPROBE:GB11:Msn1,382.0,aa,32896,descriptive,v0.8_reused_data_layer_audit
score_dynamic_range,natural,UniPROBE:GB11:Msn1,0.9975,assay_score,32896,assay-specific; not cross-normalized,v0.8_reused_data_layer_audit
score_95_5_spread,natural,UniPROBE:GB11:Msn1,0.4718725,assay_score,32896,assay-specific; not cross-normalized,v0.8_reused_data_layer_audit
top1pct_position_entropy_mean,natural,UniPROBE:GB11:Msn1,1.8442517078968628,bits,329,within-dataset descriptive,v0.8_reused_data_layer_audit
dna_kmer_length,natural,UniPROBE:GB11:Msn1,8.0,nt,32896,protocol difference,v0.8_reused_data_layer_audit
protein_sequence_length,natural,UniPROBE:GB11:Nrg2,220.0,aa,32896,descriptive,v0.8_reused_data_layer_audit
score_dynamic_range,natural,UniPROBE:GB11:Nrg2,0.94561,assay_score,32896,assay-specific; not cross-normalized,v0.8_reused_data_layer_audit
score_95_5_spread,natural,UniPROBE:GB11:Nrg2,0.39583,assay_score,32896,assay-specific; not cross-normalized,v0.8_reused_data_layer_audit
top1pct_position_entropy_mean,natural,UniPROBE:GB11:Nrg2,1.9213929288965217,bits,329,within-dataset descriptive,v0.8_reused_data_layer_audit
dna_kmer_length,natural,UniPROBE:GB11:Nrg2,8.0,nt,32896,protocol difference,v0.8_reused_data_layer_audit
protein_sequence_length,natural,UniPROBE:GB11:Pdr3,976.0,aa,32896,descriptive,v0.8_reused_data_layer_audit
score_dynamic_range,natural,UniPROBE:GB11:Pdr3,0.97372,assay_score,32896,assay-specific; not cross-normalized,v0.8_reused_data_layer_audit
score_95_5_spread,natural,UniPROBE:GB11:Pdr3,0.5117925,assay_score,32896,assay-specific; not cross-normalized,v0.8_reused_data_layer_audit
top1pct_position_entropy_mean,natural,UniPROBE:GB11:Pdr3,1.7932679993974792,bits,329,within-dataset descriptive,v0.8_reused_data_layer_audit
dna_kmer_length,natural,UniPROBE:GB11:Pdr3,8.0,nt,32896,protocol difference,v0.8_reused_data_layer_audit
protein_sequence_length,natural,UniPROBE:GB11:Sko1,647.0,aa,32896,descriptive,v0.8_reused_data_layer_audit
score_dynamic_range,natural,UniPROBE:GB11:Sko1,0.99962,assay_score,32896,assay-specific; not cross-normalized,v0.8_reused_data_layer_audit
score_95_5_spread,natural,UniPROBE:GB11:Sko1,0.5541125,assay_score,32896,assay-specific; not cross-normalized,v0.8_reused_data_layer_audit
top1pct_position_entropy_mean,natural,UniPROBE:GB11:Sko1,1.904772541285089,bits,329,within-dataset descriptive,v0.8_reused_data_layer_audit
dna_kmer_length,natural,UniPROBE:GB11:Sko1,8.0,nt,32896,protocol difference,v0.8_reused_data_layer_audit
protein_sequence_length,natural,UniPROBE:GB11:Stb4,949.0,aa,32896,descriptive,v0.8_reused_data_layer_audit
score_dynamic_range,natural,UniPROBE:GB11:Stb4,0.95727,assay_score,32896,assay-specific; not cross-normalized,v0.8_reused_data_layer_audit
score_95_5_spread,natural,UniPROBE:GB11:Stb4,0.549775,assay_score,32896,assay-specific; not cross-normalized,v0.8_reused_data_layer_audit
top1pct_position_entropy_mean,natural,UniPROBE:GB11:Stb4,1.7951582648892863,bits,329,within-dataset descriptive,v0.8_reused_data_layer_audit
dna_kmer_length,natural,UniPROBE:GB11:Stb4,8.0,nt,32896,protocol difference,v0.8_reused_data_layer_audit
protein_sequence_length,natural,UniPROBE:GB11:Stb5,743.0,aa,32896,descriptive,v0.8_reused_data_layer_audit
score_dynamic_range,natural,UniPROBE:GB11:Stb5,0.95887,assay_score,32896,assay-specific; not cross-normalized,v0.8_reused_data_layer_audit
score_95_5_spread,natural,UniPROBE:GB11:Stb5,0.5469124999999999,assay_score,32896,assay-specific; not cross-normalized,v0.8_reused_data_layer_audit
top1pct_position_entropy_mean,natural,UniPROBE:GB11:Stb5,1.7686715796516064,bits,329,within-dataset descriptive,v0.8_reused_data_layer_audit
dna_kmer_length,natural,UniPROBE:GB11:Stb5,8.0,nt,32896,protocol difference,v0.8_reused_data_layer_audit
protein_sequence_length,natural,UniPROBE:GB11:Ste12,688.0,aa,32896,descriptive,v0.8_reused_data_layer_audit
score_dynamic_range,natural,UniPROBE:GB11:Ste12,0.91403,assay_score,32896,assay-specific; not cross-normalized,v0.8_reused_data_layer_audit
score_95_5_spread,natural,UniPROBE:GB11:Ste12,0.42021,assay_score,32896,assay-specific; not cross-normalized,v0.8_reused_data_layer_audit
top1pct_position_entropy_mean,natural,UniPROBE:GB11:Ste12,1.81185411165582,bits,329,within-dataset descriptive,v0.8_reused_data_layer_audit
dna_kmer_length,natural,UniPROBE:GB11:Ste12,8.0,nt,32896,protocol difference,v0.8_reused_data_layer_audit
protein_sequence_length,natural,UniPROBE:GB11:Stp1,519.0,aa,32896,descriptive,v0.8_reused_data_layer_audit
score_dynamic_range,natural,UniPROBE:GB11:Stp1,0.99512,assay_score,32896,assay-specific; not cross-normalized,v0.8_reused_data_layer_audit
score_95_5_spread,natural,UniPROBE:GB11:Stp1,0.4866775,assay_score,32896,assay-specific; not cross-normalized,v0.8_reused_data_layer_audit
top1pct_position_entropy_mean,natural,UniPROBE:GB11:Stp1,1.6926514682857794,bits,329,within-dataset descriptive,v0.8_reused_data_layer_audit
dna_kmer_length,natural,UniPROBE:GB11:Stp1,8.0,nt,32896,protocol difference,v0.8_reused_data_layer_audit
protein_sequence_length,natural,UniPROBE:GB11:Sut1,299.0,aa,32896,descriptive,v0.8_reused_data_layer_audit
score_dynamic_range,natural,UniPROBE:GB11:Sut1,0.99876,assay_score,32896,assay-specific; not cross-normalized,v0.8_reused_data_layer_audit
score_95_5_spread,natural,UniPROBE:GB11:Sut1,0.492245,assay_score,32896,assay-specific; not cross-normalized,v0.8_reused_data_layer_audit
top1pct_position_entropy_mean,natural,UniPROBE:GB11:Sut1,1.8689228655604413,bits,329,within-dataset descriptive,v0.8_reused_data_layer_audit
dna_kmer_length,natural,UniPROBE:GB11:Sut1,8.0,nt,32896,protocol difference,v0.8_reused_data_layer_audit
protein_sequence_length,natural,UniPROBE:GB11:Upc2,913.0,aa,32896,descriptive,v0.8_reused_data_layer_audit
score_dynamic_range,natural,UniPROBE:GB11:Upc2,0.94924,assay_score,32896,assay-specific; not cross-normalized,v0.8_reused_data_layer_audit
score_95_5_spread,natural,UniPROBE:GB11:Upc2,0.52016,assay_score,32896,assay-specific; not cross-normalized,v0.8_reused_data_layer_audit
top1pct_position_entropy_mean,natural,UniPROBE:GB11:Upc2,1.900949373832057,bits,329,within-dataset descriptive,v0.8_reused_data_layer_audit
dna_kmer_length,natural,UniPROBE:GB11:Upc2,8.0,nt,32896,protocol difference,v0.8_reused_data_layer_audit
protein_sequence_length,natural,UniPROBE:GB11:Vhr1,640.0,aa,32896,descriptive,v0.8_reused_data_layer_audit
score_dynamic_range,natural,UniPROBE:GB11:Vhr1,0.95095,assay_score,32896,assay-specific; not cross-normalized,v0.8_reused_data_layer_audit
score_95_5_spread,natural,UniPROBE:GB11:Vhr1,0.4358625,assay_score,32896,assay-specific; not cross-normalized,v0.8_reused_data_layer_audit
top1pct_position_entropy_mean,natural,UniPROBE:GB11:Vhr1,1.862040242181746,bits,329,within-dataset descriptive,v0.8_reused_data_layer_audit
dna_kmer_length,natural,UniPROBE:GB11:Vhr1,8.0,nt,32896,protocol difference,v0.8_reused_data_layer_audit
protein_sequence_length,natural,UniPROBE:GB11:Vhr2,505.0,aa,32896,descriptive,v0.8_reused_data_layer_audit
score_dynamic_range,natural,UniPROBE:GB11:Vhr2,0.99886,assay_score,32896,assay-specific; not cross-normalized,v0.8_reused_data_layer_audit
score_95_5_spread,natural,UniPROBE:GB11:Vhr2,0.517235,assay_score,32896,assay-specific; not cross-normalized,v0.8_reused_data_layer_audit
top1pct_position_entropy_mean,natural,UniPROBE:GB11:Vhr2,1.8378231236025375,bits,329,within-dataset descriptive,v0.8_reused_data_layer_audit
dna_kmer_length,natural,UniPROBE:GB11:Vhr2,8.0,nt,32896,protocol difference,v0.8_reused_data_layer_audit
protein_sequence_length,natural,UniPROBE:GB11:Yap3,330.0,aa,32896,descriptive,v0.8_reused_data_layer_audit
score_dynamic_range,natural,UniPROBE:GB11:Yap3,0.99639,assay_score,32896,assay-specific; not cross-normalized,v0.8_reused_data_layer_audit
score_95_5_spread,natural,UniPROBE:GB11:Yap3,0.4546,assay_score,32896,assay-specific; not cross-normalized,v0.8_reused_data_layer_audit
top1pct_position_entropy_mean,natural,UniPROBE:GB11:Yap3,1.6473015127139503,bits,329,within-dataset descriptive,v0.8_reused_data_layer_audit
dna_kmer_length,natural,UniPROBE:GB11:Yap3,8.0,nt,32896,protocol difference,v0.8_reused_data_layer_audit
protein_sequence_length,natural,UniPROBE:GB11:Ybr033w,919.0,aa,32896,descriptive,v0.8_reused_data_layer_audit
score_dynamic_range,natural,UniPROBE:GB11:Ybr033w,0.99475,assay_score,32896,assay-specific; not cross-normalized,v0.8_reused_data_layer_audit
score_95_5_spread,natural,UniPROBE:GB11:Ybr033w,0.5005250000000001,assay_score,32896,assay-specific; not cross-normalized,v0.8_reused_data_layer_audit
top1pct_position_entropy_mean,natural,UniPROBE:GB11:Ybr033w,1.6437109962912264,bits,329,within-dataset descriptive,v0.8_reused_data_layer_audit
dna_kmer_length,natural,UniPROBE:GB11:Ybr033w,8.0,nt,32896,protocol difference,v0.8_reused_data_layer_audit
protein_sequence_length,natural,UniPROBE:GB11:Yer184c,794.0,aa,32896,descriptive,v0.8_reused_data_layer_audit
score_dynamic_range,natural,UniPROBE:GB11:Yer184c,0.96851,assay_score,32896,assay-specific; not cross-normalized,v0.8_reused_data_layer_audit
score_95_5_spread,natural,UniPROBE:GB11:Yer184c,0.4905325,assay_score,32896,assay-specific; not cross-normalized,v0.8_reused_data_layer_audit
top1pct_position_entropy_mean,natural,UniPROBE:GB11:Yer184c,1.8155054789745315,bits,329,within-dataset descriptive,v0.8_reused_data_layer_audit
dna_kmer_length,natural,UniPROBE:GB11:Yer184c,8.0,nt,32896,protocol difference,v0.8_reused_data_layer_audit
protein_sequence_length,natural,UniPROBE:GB11:Ylr278c,1341.0,aa,32896,descriptive,v0.8_reused_data_layer_audit
score_dynamic_range,natural,UniPROBE:GB11:Ylr278c,0.96934,assay_score,32896,assay-specific; not cross-normalized,v0.8_reused_data_layer_audit
score_95_5_spread,natural,UniPROBE:GB11:Ylr278c,0.5594475000000001,assay_score,32896,assay-specific; not cross-normalized,v0.8_reused_data_layer_audit
top1pct_position_entropy_mean,natural,UniPROBE:GB11:Ylr278c,1.7959270852660445,bits,329,within-dataset descriptive,v0.8_reused_data_layer_audit
dna_kmer_length,natural,UniPROBE:GB11:Ylr278c,8.0,nt,32896,protocol difference,v0.8_reused_data_layer_audit
protein_sequence_length,natural,UniPROBE:GB11:Zap1,880.0,aa,32896,descriptive,v0.8_reused_data_layer_audit
score_dynamic_range,natural,UniPROBE:GB11:Zap1,0.96959,assay_score,32896,assay-specific; not cross-normalized,v0.8_reused_data_layer_audit
score_95_5_spread,natural,UniPROBE:GB11:Zap1,0.4935975,assay_score,32896,assay-specific; not cross-normalized,v0.8_reused_data_layer_audit
top1pct_position_entropy_mean,natural,UniPROBE:GB11:Zap1,1.8570250707760696,bits,329,within-dataset descriptive,v0.8_reused_data_layer_audit
dna_kmer_length,natural,UniPROBE:GB11:Zap1,8.0,nt,32896,protocol difference,v0.8_reused_data_layer_audit
protein_sequence_length,natural,UniPROBE:LIU18A:BCL11A_23,835.0,aa,32896,descriptive,v0.8_reused_data_layer_audit
score_dynamic_range,natural,UniPROBE:LIU18A:BCL11A_23,0.950265,assay_score,32896,assay-specific; not cross-normalized,v0.8_reused_data_layer_audit
score_95_5_spread,natural,UniPROBE:LIU18A:BCL11A_23,0.4882375,assay_score,32896,assay-specific; not cross-normalized,v0.8_reused_data_layer_audit
top1pct_position_entropy_mean,natural,UniPROBE:LIU18A:BCL11A_23,1.7587449675282882,bits,329,within-dataset descriptive,v0.8_reused_data_layer_audit
dna_kmer_length,natural,UniPROBE:LIU18A:BCL11A_23,8.0,nt,32896,protocol difference,v0.8_reused_data_layer_audit
protein_sequence_length,natural,UniPROBE:LIU18A:BCL11A_456,835.0,aa,32896,descriptive,v0.8_reused_data_layer_audit
score_dynamic_range,natural,UniPROBE:LIU18A:BCL11A_456,0.94885,assay_score,32896,assay-specific; not cross-normalized,v0.8_reused_data_layer_audit
score_95_5_spread,natural,UniPROBE:LIU18A:BCL11A_456,0.511235,assay_score,32896,assay-specific; not cross-normalized,v0.8_reused_data_layer_audit
top1pct_position_entropy_mean,natural,UniPROBE:LIU18A:BCL11A_456,1.7537215626336429,bits,329,within-dataset descriptive,v0.8_reused_data_layer_audit
dna_kmer_length,natural,UniPROBE:LIU18A:BCL11A_456,8.0,nt,32896,protocol difference,v0.8_reused_data_layer_audit
protein_sequence_length,natural,UniPROBE:LIU18A:BCL11A_XL,835.0,aa,32896,descriptive,v0.8_reused_data_layer_audit
score_dynamic_range,natural,UniPROBE:LIU18A:BCL11A_XL,0.98451,assay_score,32896,assay-specific; not cross-normalized,v0.8_reused_data_layer_audit
score_95_5_spread,natural,UniPROBE:LIU18A:BCL11A_XL,0.46426,assay_score,32896,assay-specific; not cross-normalized,v0.8_reused_data_layer_audit
top1pct_position_entropy_mean,natural,UniPROBE:LIU18A:BCL11A_XL,1.7287483060293087,bits,329,within-dataset descriptive,v0.8_reused_data_layer_audit
dna_kmer_length,natural,UniPROBE:LIU18A:BCL11A_XL,8.0,nt,32896,protocol difference,v0.8_reused_data_layer_audit
protein_sequence_length,natural,UniPROBE:LIU18A:BCL11A_d23d456,835.0,aa,32896,descriptive,v0.8_reused_data_layer_audit
score_dynamic_range,natural,UniPROBE:LIU18A:BCL11A_d23d456,0.8962600000000001,assay_score,32896,assay-specific; not cross-normalized,v0.8_reused_data_layer_audit
score_95_5_spread,natural,UniPROBE:LIU18A:BCL11A_d23d456,0.4131025,assay_score,32896,assay-specific; not cross-normalized,v0.8_reused_data_layer_audit
top1pct_position_entropy_mean,natural,UniPROBE:LIU18A:BCL11A_d23d456,1.5672374572192391,bits,329,within-dataset descriptive,v0.8_reused_data_layer_audit
